Model,R2 Score,MAE,RMSE
Linear Regression,0.8147765942994918,784649.002728688,1135799.681433815
Random Forest,0.9714047160274705,246475.36929057335,446273.4155768788
XGBoost,0.9661279580554767,252441.3542942177,485707.15272478684
Tuned Random Forest (Final),0.9718404706364415,245358.42954324585,442860.0511993119
